id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id/id
az342,342,Mühasibat uçotu siyasətində dəyişikliklərlə bağlı mənfəət (zərər) üzrə düzəlişlər,account.data_account_type_equity,FALSE,,l10n_az
az343,343,Keçmiş illər üzrə bölühdürülməmiş mənfəət (ödənilməmiş zərər),account.data_account_type_equity,FALSE,,l10n_az
az344,344,Elan edilmiş dividentlər,account.data_account_type_equity,FALSE,account.account_tag_investing,l10n_az
az40,40,Uzunmüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az401,401,Uzunmüddətli bank kreditləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az402,402,İşçilər üçün uzunmüddətli bank kreditləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az403,403,Uzunmüddətli konvertasiya olunan istiqrazlar,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az404,404,Uzunmüddətli borclar,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az405,405,Geri alınan məhdud tədavül müddətli imtiyazlı səhmlər(uzunmüddətli),account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az406,406,Maliyyə icarəsi üzrə uzunmüddətli öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az407,407,Törəmə(asılı) müəssisələrə uzunmüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az408,408,Digər uzunmüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az41,41,Uzunmüddətli qiymətləndirilmiş öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az411,411,İşdən azad olma ilə bağlı uzunmüddətli müavinətlər və öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az412,412,Uzunmüddətli zəmanət öhdəlikləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az413,413,Uzunmüddətli hüquqi öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az414,414,Digər uzunmüddətli qiymətləndirilmiş öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az414-1,414-1,Sığorta müqavilələri üzrə uzunmüddətli öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az42,42,Təxirə salınmış vergi öhdəlikləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az421,421,Mənfəət vergisi üzrə təxirə salınmış vergi öhdəlikləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az422,422,Digər təxirə salınmış vergi öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az43,43,Uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az431,431,Malsatan və podratçılara uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az432,432,Törəmə(asılı) cəmiyyətlərə uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az433,433,Tikinti müqavilələri üzrə uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az434,434,Faizlər üzrə uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az435,435,Digər uzunmüddətli kreditor borcları,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az44,44,Sair uzunmüddətli öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az441,441,Uzunmüddətli pensiya öhdəlikləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az442,442,Gələcək hesabat dövrlərinin gəlirləri,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az443,443,Alınmış uzunmüddətli avanslar,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az444,444,Uzunmüddətli məqsədli maliyyələşmələr və daxilolmalar,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az445,445,Digər uzunmüddətli öhdəliklər,account.data_account_type_non_current_liabilities,FALSE,,l10n_az
az50,50,Qısamüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az501,501,Qısamüddətli bank kreditləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az501-1,501-1,Bank overdraftı,account.data_account_type_current_liabilities,FALSE,,l10n_az
az502,502,İşçilər üçün qısamüddətli bank kreditləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az503,503,Qısamüddətli konvertasiya olunan istiqrazlar,account.data_account_type_current_liabilities,FALSE,,l10n_az
az504,504,Qısamüddətli borclar,account.data_account_type_current_liabilities,FALSE,,l10n_az
az505,505,Geri alınan məhdud tədavül müddətli imtiyazlı səhmlər(qısamüddətli),account.data_account_type_current_liabilities,FALSE,,l10n_az
az506,506,Törəmə(asılı) müəssisələrə qısamüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az507,507,Digər qısamüddətli faiz xərcləri yaradan öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az51,51,Qısamüddətli qiymətləndirilmiş öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az511,511,İşdən azad olma ilə bağlı qısamüddətli müavinətlər və öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az512,512,Qısamüddətli zəmanət öhdəlikləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az513,513,Qısamüddətli hüquqi öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az514,514,Mənfəətdə iştirak planı və müavinət planları,account.data_account_type_current_liabilities,FALSE,,l10n_az
az515,515,Digər qısamüddətli qiymətləndirilmiş öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az515-1,515-1,Sığorta müqavilələri üzrə qısamüddətli öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az52,52,Vergi və sair məcburi ödənişlər üzrə öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az521,521,Vergi öhdəlikləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az521-1,521-1,Muzdlu işçinin gəlir vergisi,account.data_account_type_current_liabilities,FALSE,,l10n_az
az521-2,521-2,Mənfəət vergiis,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522,522,Sosial sığorta və təminat üzrə öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522-1,522-1,İşçi sosial müdafiə fondu,account.data_account_type_current_liabilities,FALSE,,l10n_az
